Time,Value
2024-07-16 07:49:40.904999971,1.249199730225647
2024-07-16 07:49:41.005000830,1.3222094228568853
2024-07-16 07:49:41.105001450,1.3290733942431225
2024-07-16 07:49:41.205002308,1.181644068608562
2024-07-16 07:49:41.305003166,1.0848502122936874
2024-07-16 07:49:41.405004025,1.157510281084994
2024-07-16 07:49:41.505004644,1.2207205955530556
2024-07-16 07:49:41.605005503,1.22072175176
2024-07-16 07:49:41.705006361,1.22072175176
2024-07-16 07:49:41.805007219,1.22072175176
2024-07-16 07:49:41.905007839,1.22072175176
2024-07-16 07:49:42.005008698,1.1513576563132901
2024-07-16 07:49:42.105009556,1.0783480025802092
2024-07-16 07:49:42.205010414,1.0681319375771268
2024-07-16 07:49:42.305011034,1.06813153279
2024-07-16 07:49:42.405011892,1.1245450820452727
2024-07-16 07:49:42.505012751,1.1968620625548592
2024-07-16 07:49:42.605013371,1.2701161688182585
2024-07-16 07:49:42.705014229,1.3438312781222608
2024-07-16 07:49:42.805015087,1.2861018659962444
2024-07-16 07:49:42.905015945,1.140782833945072
2024-07-16 07:49:43.005016565,1.10464876756562
2024-07-16 07:49:43.105017424,1.177651473223765
2024-07-16 07:49:43.205018282,1.2207187321408102
2024-07-16 07:49:43.305019140,1.22072175176
2024-07-16 07:49:43.405019760,1.22072175176
2024-07-16 07:49:43.505020618,1.22072175176
2024-07-16 07:49:43.605021477,1.22072175176
2024-07-16 07:49:43.705022335,1.22072175176
2024-07-16 07:49:43.805022955,1.22072175176
2024-07-16 07:49:43.905023813,1.22072175176
2024-07-16 07:49:44.005024672,1.2265469604158676
2024-07-16 07:49:44.105025530,1.2992026966780745
2024-07-16 07:49:44.205026150,1.3718647493679683
2024-07-16 07:49:44.305027008,1.3017560426199735
2024-07-16 07:49:44.405027866,1.228746565913968
2024-07-16 07:49:44.505028486,1.2207226316162476
2024-07-16 07:49:44.605029345,1.22072175176
2024-07-16 07:49:44.705030203,1.2794183871710578
2024-07-16 07:49:44.805031061,1.352777448266698
2024-07-16 07:49:44.905031681,1.3733094677572122
2024-07-16 07:49:45.005032539,1.3733119707299999
2024-07-16 07:49:45.105033398,1.3755948504046056
2024-07-16 07:49:45.205034256,1.3792175133504383
2024-07-16 07:49:45.305034876,1.3828403478279343
2024-07-16 07:49:45.405035734,1.3864631823054303
2024-07-16 07:49:45.505036591,1.3900860167829263
2024-07-16 07:49:45.605037451,1.393708851260422
2024-07-16 07:49:45.705038071,1.3973316857379183
2024-07-16 07:49:45.805038929,1.4009545202154141
2024-07-16 07:49:45.905039787,1.4045773546929101
2024-07-16 07:49:46.005040407,1.4082001891704061
2024-07-16 07:49:46.105041265,1.411823023647902
2024-07-16 07:49:46.205042124,1.415445858125398
2024-07-16 07:49:46.305042982,1.419068692602894
2024-07-16 07:49:46.405043602,1.42269152708039
2024-07-16 07:49:46.505044460,1.4263143615578857
2024-07-16 07:49:46.605045319,1.4299371960353817
2024-07-16 07:49:46.705046177,1.4335600305128777
2024-07-16 07:49:46.805046797,1.4371828649903735
2024-07-16 07:49:46.905047655,1.4408056994678697
2024-07-16 07:49:47.005048513,1.4444285339453655
2024-07-16 07:49:47.105049372,1.4480513684228615
2024-07-16 07:49:47.205049992,1.4516742029003575
2024-07-16 07:49:47.305050850,1.4552970373778533
2024-07-16 07:49:47.405051708,1.4589198718553495
2024-07-16 07:49:47.505052567,1.4625427063328453
2024-07-16 07:49:47.605053186,1.4661655408103413
2024-07-16 07:49:47.705054045,1.4697883752878373
2024-07-16 07:49:47.805054903,1.4734112097653331
2024-07-16 07:49:47.905055523,1.4770340442428291
2024-07-16 07:49:48.005056381,1.4806568787203251
2024-07-16 07:49:48.105057240,1.4842797131978211
2024-07-16 07:49:48.205058098,1.487902547675317
2024-07-16 07:49:48.305058718,1.4915253821528132
2024-07-16 07:49:48.405059576,1.495148216630309
2024-07-16 07:49:48.505060434,1.498771051107805
2024-07-16 07:49:48.605061293,1.502393885585301
2024-07-16 07:49:48.705061913,1.5060167200627967
2024-07-16 07:49:48.805062771,1.5096395545402927
2024-07-16 07:49:48.905063629,1.5132623890177888
2024-07-16 07:49:49.005064487,1.5168852234952848
2024-07-16 07:49:49.105065107,1.5205080579727805
2024-07-16 07:49:49.205065966,1.5241308924502766
2024-07-16 07:49:49.305066824,1.5277537269277726
2024-07-16 07:49:49.405067444,1.5313765614052683
2024-07-16 07:49:49.505068301,1.5349993958827646
2024-07-16 07:49:49.605069160,1.5386222303602604
2024-07-16 07:49:49.705070019,1.5422450648377564
2024-07-16 07:49:49.805070639,1.5458678993152524
2024-07-16 07:49:49.905071497,1.5494907337927484
2024-07-16 07:49:50.005072355,1.5531135682702442
2024-07-16 07:49:50.105073214,1.5567364027477402
2024-07-16 07:49:50.205073833,1.5603592372252362
2024-07-16 07:49:50.305074692,1.563982071702732
2024-07-16 07:49:50.405075550,1.5676049061802282
2024-07-16 07:49:50.505076408,1.571227740657724
2024-07-16 07:49:50.605077028,1.5748505751352198
2024-07-16 07:49:50.705077887,1.578473409612716
2024-07-16 07:49:50.805078745,1.5820962440902118
2024-07-16 07:49:50.905079365,1.585719078567708
2024-07-16 07:49:51.005080223,1.5893419130452038
2024-07-16 07:49:51.105081081,1.5929647475226996
2024-07-16 07:49:51.205081940,1.5965875820001958
2024-07-16 07:49:51.305082560,1.6002104164776916
2024-07-16 07:49:51.405083418,1.6038332509551876
2024-07-16 07:49:51.505084276,1.6074560854326836
2024-07-16 07:49:51.605085135,1.6110789199101796
2024-07-16 07:49:51.705085754,1.6147017543876754
2024-07-16 07:49:51.805086613,1.6183245888651716
2024-07-16 07:49:51.905087471,1.6219474233426674
2024-07-16 07:49:52.005088329,1.6255702578201632
2024-07-16 07:49:52.105088949,1.6291930922976594
2024-07-16 07:49:52.205089808,1.6328159267751552
2024-07-16 07:49:52.305090666,1.6364387612526512
2024-07-16 07:49:52.405091524,1.6400615957301472
2024-07-16 07:49:52.505092144,1.6436844302076432
2024-07-16 07:49:52.605093002,1.647307264685139
2024-07-16 07:49:52.705093861,1.6509300991626352
2024-07-16 07:49:52.805094481,1.654552933640131
2024-07-16 07:49:52.905095339,1.6581757681176268
2024-07-16 07:49:53.005096197,1.661798602595123
2024-07-16 07:49:53.105097055,1.6654214370726188
2024-07-16 07:49:53.205097675,1.6690442715501148
2024-07-16 07:49:53.305098534,1.6726671060276108
2024-07-16 07:49:53.405099392,1.6762899405051068
2024-07-16 07:49:53.505100250,1.6799127749826026
2024-07-16 07:49:53.605100870,1.6835356094600986
2024-07-16 07:49:53.705101728,1.6871584439375946
2024-07-16 07:49:53.805102587,1.6907812784150906
2024-07-16 07:49:53.905103445,1.7082449540020936
